IN,PHY_P1,CHEM_P1,MAT_P1,OVERALL_P1,TM_P1,TQ_P1,MCQ_P1,MMCQ_P1,NUM_P1,PARA_P1,MTF_P1,PHY_P2,CHEM_P2,MAT_P2,OVERALL_P2,TM_P2,TQ_P2,MCQ_P2,MMCQ_P2,NUM_P2,PARA_P2,MTF_P2,EASY_P,MED_P,HARD_P,EASY_C,MED_C,HARD_C,EASY_M,MED_M,HARD_M,OUT
337,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,1
272,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,101
258,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,201
247,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,301
240,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,401
233,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,501
227,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,601
223,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,701
219,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,801
216,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,901
213,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,1001
210,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,1101
207,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,1201
204,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,1301
202,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,1401
200,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,1501
198,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,1601
196,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,1701
195,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,1801
193,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,1901
191,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,2001
190,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,2101
188,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,2201
187,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,2301
185,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,2401
184,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,2501
182,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,2601
181,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,2701
180,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,2801
179,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,2901
177,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,3001
176,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,3101
